City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Teuva,15958.0,16181.0,17163.0,17369.0,17486.0,17662.0,17873.0,18200.0,18537.0,19152.0,19324.0,20090.0
Vimpeli,17110.0,17611.0,18008.0,18004.0,18350.0,18682.0,18902.0,19321.0,19714.0,20386.0,20370.0,20878.0
Ähtäri,16369.0,17143.0,17454.0,17809.0,18305.0,18441.0,18721.0,18963.0,19491.0,20137.0,20134.0,20575.0
Kaskinen,17933.0,18292.0,19173.0,19333.0,19730.0,19820.0,19789.0,20270.0,20399.0,20609.0,20853.0,21028.0
Korsnäs,16374.0,17505.0,18227.0,19111.0,18141.0,18745.0,18925.0,19014.0,19550.0,19854.0,20715.0,21249.0
Kristiinankaupunki,16092.0,16841.0,17577.0,17867.0,18169.0,18194.0,18792.0,19209.0,19615.0,20135.0,20445.0,20915.0
Kruunupyy,18179.0,18696.0,19331.0,20064.0,20245.0,19961.0,20364.0,20670.0,20990.0,21724.0,21652.0,22152.0
Laihia,19559.0,20519.0,21307.0,21708.0,21771.0,21753.0,22058.0,22268.0,23056.0,23349.0,23587.0,24191.0
Luoto,19959.0,20630.0,21034.0,21546.0,21959.0,21910.0,22305.0,22693.0,23181.0,23440.0,23840.0,24424.0
Maalahti,17723.0,18472.0,19136.0,19415.0,19586.0,19762.0,20047.0,20556.0,20982.0,21494.0,22018.0,22838.0
Mustasaari,21112.0,21867.0,22531.0,22890.0,22681.0,22770.0,23043.0,23333.0,23710.0,24373.0,24546.0,25349.0
Närpiö,16816.0,17728.0,18428.0,18663.0,18923.0,18933.0,19029.0,19596.0,20105.0,20479.0,20766.0,21517.0
Pedersören kunta,18895.0,20036.0,20905.0,20897.0,21208.0,21207.0,21532.0,21987.0,22349.0,22890.0,22968.0,23839.0
Pietarsaari,18251.0,18868.0,19499.0,19697.0,19941.0,20145.0,20403.0,20640.0,21103.0,21603.0,21924.0,22413.0
Uusikaarlepyy,18043.0,18945.0,19870.0,20226.0,20591.0,20530.0,20545.0,21095.0,21687.0,21924.0,22024.0,22909.0
Vaasa,18887.0,19431.0,20074.0,20419.0,20581.0,20517.0,20528.0,20827.0,21264.0,21708.0,21803.0,22295.0
Vöyri,18313.0,19216.0,19912.0,19965.0,20276.0,20204.0,20490.0,20911.0,21373.0,22134.0,22632.0,23288.0
Halsua,15650.0,15870.0,17036.0,17415.0,17476.0,17590.0,17902.0,18021.0,18453.0,18922.0,18872.0,19181.0
Kannus,17894.0,18789.0,19417.0,19481.0,20242.0,19984.0,20039.0,20450.0,20912.0,21520.0,21596.0,22604.0
Kaustinen,18248.0,18746.0,19213.0,19819.0,20125.0,20007.0,20397.0,20831.0,21472.0,22072.0,21989.0,23015.0
Kokkola,18372.0,19081.0,19887.0,19975.0,20309.0,20310.0,20391.0,20842.0,21308.0,21886.0,22167.0,22771.0
Lestijärvi,15313.0,15926.0,16457.0,16708.0,16916.0,17386.0,17875.0,18293.0,19085.0,19841.0,19498.0,20105.0
Perho,16096.0,16656.0,16916.0,17462.0,17831.0,17866.0,18454.0,19123.0,19401.0,19984.0,19976.0,21237.0
Toholampi,17178.0,17848.0,18510.0,18821.0,18823.0,18907.0,19264.0,19366.0,19883.0,20345.0,20394.0,21303.0
Veteli,16327.0,17176.0,17851.0,18536.0,18773.0,18823.0,19112.0,19267.0,19691.0,19989.0,19981.0,20918.0
Alavieska,16074.0,17149.0,17474.0,17491.0,18358.0,18291.0,18593.0,19357.0,20044.0,20562.0,21224.0,21676.0
Haapajärvi,16547.0,17120.0,17959.0,18249.0,18678.0,18322.0,18712.0,19191.0,19638.0,20077.0,20515.0,21401.0
