City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Inari,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0
Kemi,44.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0
Kemijärvi,50.0,50.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0
Keminmaa,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0
Kittilä,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0
Kolari,45.0,45.0,46.0,46.0,46.0,46.0,47.0,46.0,47.0,47.0,47.0,46.0
Muonio,44.0,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0
Pelkosenniemi,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,53.0,54.0,54.0
Pello,50.0,51.0,51.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0
Posio,49.0,50.0,50.0,51.0,51.0,52.0,53.0,54.0,54.0,55.0,56.0,56.0
Ranua,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,47.0,47.0
Rovaniemi,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0
Salla,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0
Savukoski,49.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0
Simo,45.0,45.0,45.0,46.0,47.0,47.0,48.0,48.0,49.0,50.0,50.0,51.0
Sodankylä,45.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0
Tervola,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0
Tornio,40.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0
Utsjoki,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0
Ylitornio,48.0,49.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0
Brändö,48.0,48.0,49.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,52.0,52.0
