City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Eurajoki,147.0,151.0,168.0,170.0,178.0,311.0,419.0,334.0,324.0,344.0,310.0,313
Harjavalta,154.0,169.0,187.0,198.0,206.0,226.0,252.0,236.0,233.0,250.0,266.0,288
Huittinen,300.0,305.0,309.0,315.0,346.0,353.0,376.0,394.0,404.0,407.0,421.0,446
Jämijärvi,17.0,17.0,28.0,37.0,41.0,38.0,35.0,33.0,32.0,34.0,32.0,35
Kankaanpää,287.0,322.0,349.0,388.0,395.0,434.0,485.0,476.0,466.0,497.0,536.0,561
Karvia,55.0,53.0,47.0,48.0,52.0,60.0,59.0,67.0,63.0,81.0,93.0,98
Kokemäki,162.0,181.0,191.0,193.0,201.0,205.0,206.0,206.0,196.0,229.0,239.0,245
Merikarvia,28.0,33.0,34.0,35.0,36.0,35.0,37.0,46.0,47.0,53.0,57.0,64
Nakkila,40.0,41.0,40.0,49.0,55.0,62.0,71.0,81.0,89.0,89.0,96.0,95
Pomarkku,21.0,24.0,27.0,27.0,22.0,21.0,20.0,21.0,25.0,23.0,27.0,28
Pori,1674.0,1883.0,2121.0,2266.0,2388.0,2600.0,2713.0,2910.0,2987.0,3156.0,3377.0,3745
Rauma,966.0,1144.0,1307.0,1476.0,1629.0,1859.0,2048.0,2247.0,2472.0,2719.0,2982.0,2970
Siikainen,14.0,17.0,17.0,17.0,18.0,20.0,16.0,19.0,19.0,17.0,18.0,18
Säkylä,93.0,115.0,126.0,139.0,139.0,136.0,147.0,140.0,153.0,175.0,198.0,219
Ulvila,152.0,171.0,172.0,182.0,184.0,202.0,217.0,219.0,220.0,236.0,272.0,287
Forssa,583.0,657.0,697.0,725.0,736.0,801.0,853.0,860.0,909.0,987.0,1000.0,1065
Hattula,108.0,122.0,138.0,148.0,165.0,163.0,169.0,177.0,187.0,187.0,193.0,206
Hausjärvi,162.0,183.0,190.0,218.0,219.0,223.0,244.0,250.0,242.0,268.0,294.0,266
Humppila,36.0,43.0,46.0,49.0,44.0,40.0,51.0,39.0,38.0,37.0,43.0,46
Hämeenlinna,1930.0,2263.0,2574.0,2828.0,3042.0,3336.0,3399.0,3421.0,3503.0,3647.0,3700.0,4056
Janakkala,340.0,348.0,396.0,429.0,447.0,448.0,472.0,478.0,483.0,494.0,533.0,539
Jokioinen,93.0,103.0,93.0,98.0,99.0,103.0,113.0,121.0,123.0,134.0,144.0,174
Loppi,125.0,122.0,128.0,134.0,133.0,144.0,172.0,161.0,173.0,201.0,237.0,245
Riihimäki,1007.0,1124.0,1233.0,1303.0,1346.0,1391.0,1445.0,1479.0,1545.0,1565.0,1588.0,1612
Tammela,35.0,43.0,49.0,54.0,58.0,66.0,87.0,88.0,97.0,109.0,119.0,143
Ypäjä,29.0,34.0,34.0,33.0,37.0,43.0,53.0,41.0,37.0,39.0,35.0,44
Akaa,275.0,300.0,312.0,321.0,320.0,335.0,332.0,357.0,362.0,388.0,420.0,460
Hämeenkyrö,127.0,133.0,139.0,140.0,149.0,191.0,209.0,203.0,194.0,188.0,187.0,189
Ikaalinen,86.0,93.0,108.0,117.0,120.0,115.0,115.0,122.0,127.0,131.0,160.0,175
Juupajoki,25.0,24.0,20.0,15.0,16.0,14.0,17.0,13.0,16.0,20.0,22.0,22
Kangasala,469.0,501.0,550.0,572.0,596.0,654.0,682.0,741.0,785.0,850.0,919.0,984
Kihniö,24.0,27.0,26.0,26.0,27.0,31.0,28.0,24.0,28.0,29.0,29.0,31
Kuhmoinen,38.0,33.0,39.0,33.0,27.0,27.0,24.0,24.0,25.0,23.0,23.0,30
Lempäälä,386.0,415.0,438.0,476.0,499.0,496.0,507.0,537.0,613.0,647.0,678.0,738
Mänttä-Vilppula,181.0,193.0,203.0,199.0,233.0,263.0,290.0,261.0,241.0,233.0,259.0,277
Nokia,605.0,672.0,714.0,773.0,785.0,843.0,843.0,878.0,925.0,979.0,1020.0,1147
Orivesi,123.0,127.0,131.0,133.0,126.0,131.0,135.0,136.0,142.0,142.0,149.0,167
Parkano,118.0,128.0,122.0,140.0,134.0,129.0,141.0,141.0,144.0,134.0,141.0,152
Pirkkala,451.0,514.0,556.0,589.0,644.0,671.0,686.0,725.0,760.0,770.0,836.0,868
Punkalaidun,112.0,106.0,115.0,110.0,101.0,110.0,105.0,100.0,85.0,65.0,74.0,81
Pälkäne,103.0,120.0,125.0,138.0,140.0,155.0,158.0,168.0,171.0,173.0,194.0,197
Ruovesi,65.0,64.0,59.0,56.0,60.0,78.0,55.0,71.0,61.0,64.0,65.0,74
Sastamala,448.0,501.0,558.0,588.0,594.0,631.0,653.0,655.0,657.0,655.0,663.0,687
Tampere,12357.0,13086.0,14162.0,14915.0,15477.0,16555.0,17439.0,18220.0,19156.0,19746.0,20935.0,23561
Urjala,112.0,100.0,106.0,107.0,107.0,117.0,127.0,126.0,117.0,115.0,119.0,111
Valkeakoski,501.0,548.0,610.0,636.0,694.0,754.0,716.0,729.0,743.0,701.0,751.0,857
Vesilahti,56.0,66.0,66.0,67.0,67.0,73.0,82.0,84.0,81.0,81.0,84.0,86
Virrat,144.0,140.0,138.0,141.0,140.0,154.0,157.0,145.0,132.0,144.0,153.0,182
