City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Naantali,64.0,-47.0,35.0,12.0,90.0,107.0,99.0,78.0,69.0,113.0,152.0,271
Nousiainen,-51.0,32.0,26.0,-28.0,15.0,-44.0,-2.0,-80.0,-18.0,-22.0,-4.0,-45
Oripää,8.0,12.0,-11.0,-6.0,-40.0,-14.0,19.0,-18.0,-35.0,5.0,3.0,-20
Paimio,69.0,120.0,-1.0,38.0,-8.0,93.0,17.0,102.0,18.0,72.0,119.0,97
Parainen,4.0,56.0,-54.0,-13.0,-37.0,-59.0,-113.0,-68.0,-85.0,-27.0,-19.0,-95
Pyhäranta,-30.0,-7.0,-22.0,-41.0,0.0,-61.0,2.0,-49.0,-24.0,-10.0,-9.0,-22
Pöytyä,-20.0,95.0,21.0,29.0,-57.0,-59.0,-81.0,-89.0,-57.0,-47.0,-7.0,-68
Raisio,132.0,3.0,3.0,-194.0,-81.0,-7.0,-49.0,-56.0,-122.0,351.0,403.0,132
Rusko,54.0,37.0,88.0,50.0,65.0,27.0,126.0,-12.0,76.0,27.0,25.0,49
Salo,48.0,-425.0,-380.0,-240.0,-348.0,-344.0,-562.0,-663.0,-488.0,-271.0,-162.0,-467
Sauvo,-2.0,-10.0,-1.0,-33.0,20.0,28.0,-40.0,-13.0,-49.0,5.0,9.0,-42
Somero,-62.0,-39.0,-83.0,27.0,-80.0,-66.0,-108.0,-91.0,-117.0,-65.0,-83.0,-137
Taivassalo,-10.0,-8.0,-15.0,-22.0,-12.0,-11.0,32.0,8.0,-23.0,20.0,18.0,14
Turku,1304.0,1595.0,1847.0,1752.0,2084.0,1696.0,2065.0,1662.0,1631.0,1429.0,746.0,2763
Uusikaupunki,-148.0,-186.0,-36.0,104.0,-57.0,-106.0,348.0,-52.0,-178.0,-144.0,85.0,-371
Vehmaa,-25.0,-29.0,6.0,9.0,-63.0,1.0,39.0,-31.0,8.0,-1.0,-21.0,-43
Eura,-83.0,-18.0,-38.0,-54.0,-186.0,-124.0,-94.0,-162.0,-116.0,-149.0,-66.0,-141
Eurajoki,-48.0,85.0,4.0,8.0,-7.0,131.0,103.0,-67.0,-52.0,50.0,-118.0,-123
Harjavalta,-36.0,-18.0,-79.0,-41.0,-70.0,-56.0,-89.0,-133.0,-87.0,-62.0,-84.0,-32
Huittinen,-25.0,-15.0,-80.0,-56.0,-14.0,-70.0,-196.0,-116.0,-47.0,-107.0,-67.0,-125
Jämijärvi,-38.0,-17.0,-15.0,26.0,-49.0,-33.0,-48.0,-58.0,-70.0,-32.0,-22.0,-2
Kankaanpää,-87.0,-137.0,2.0,-120.0,-109.0,-166.0,-104.0,-155.0,-231.0,-148.0,-96.0,-134
Karvia,-44.0,-54.0,-22.0,-32.0,-16.0,-26.0,-46.0,-13.0,-48.0,-20.0,-32.0,-50
Kokemäki,-65.0,-29.0,-124.0,-67.0,-111.0,-93.0,-117.0,-155.0,-123.0,-90.0,-62.0,-48
Merikarvia,-43.0,-35.0,-43.0,20.0,-61.0,-16.0,-13.0,-41.0,-48.0,-1.0,-11.0,-88
Nakkila,-8.0,-33.0,-41.0,-55.0,0.0,-103.0,-27.0,-84.0,-108.0,-73.0,-87.0,-97
Pomarkku,-45.0,-42.0,-33.0,-65.0,-35.0,-7.0,-67.0,-20.0,-57.0,-26.0,-50.0,-33
Pori,52.0,123.0,198.0,19.0,-55.0,-304.0,-472.0,-184.0,-469.0,-250.0,-202.0,-277
Rauma,105.0,22.0,137.0,-9.0,-161.0,-195.0,6.0,-260.0,-155.0,-165.0,-81.0,-292
Siikainen,7.0,-20.0,-9.0,-39.0,-66.0,-33.0,-18.0,-18.0,-21.0,-52.0,-33.0,-44
Säkylä,-50.0,-96.0,-126.0,-69.0,-116.0,-82.0,-85.0,-92.0,-90.0,-75.0,-58.0,-169
Ulvila,-52.0,-84.0,-109.0,-39.0,30.0,-40.0,-75.0,-216.0,-150.0,-136.0,-66.0,-70
Forssa,-71.0,-106.0,-60.0,-146.0,-99.0,-90.0,-147.0,-157.0,-127.0,-101.0,-227.0,-114
Hattula,25.0,38.0,-36.0,54.0,9.0,-65.0,-72.0,-135.0,-53.0,-33.0,16.0,-46
Hausjärvi,-8.0,59.0,-58.0,7.0,-86.0,-88.0,-137.0,-87.0,-157.0,-85.0,-32.0,-112
Humppila,-3.0,-7.0,-33.0,-23.0,-52.0,-43.0,-55.0,-55.0,-51.0,-10.0,-8.0,-5
Hämeenlinna,441.0,227.0,309.0,170.0,35.0,-161.0,-188.0,-130.0,101.0,215.0,123.0,72
Janakkala,68.0,-39.0,-79.0,-2.0,13.0,-144.0,-102.0,-160.0,-34.0,-176.0,103.0,-60
Jokioinen,-44.0,-33.0,-48.0,-79.0,-91.0,-84.0,-55.0,-91.0,-62.0,-72.0,-15.0,-56
Loppi,104.0,-41.0,5.0,-50.0,-116.0,-77.0,-70.0,-167.0,-33.0,25.0,-54.0,-50
Riihimäki,215.0,197.0,103.0,32.0,-81.0,-109.0,-139.0,-285.0,57.0,-83.0,-189.0,-172
Tammela,-37.0,-12.0,-68.0,-79.0,-115.0,-39.0,-86.0,-74.0,-66.0,1.0,-49.0,-88
Ypäjä,-15.0,-41.0,-26.0,-15.0,-57.0,-29.0,-10.0,-15.0,-14.0,-29.0,-32.0,-45
Akaa,79.0,43.0,-26.0,-56.0,-9.0,-120.0,-154.0,-158.0,-136.0,-84.0,76.0,6
Hämeenkyrö,44.0,-33.0,82.0,28.0,57.0,14.0,-82.0,-89.0,-106.0,-60.0,-7.0,-80
Ikaalinen,-53.0,-29.0,-43.0,-5.0,-91.0,-79.0,-9.0,-116.0,-61.0,-76.0,11.0,-73
Juupajoki,-48.0,-23.0,16.0,-6.0,-45.0,-31.0,-53.0,-20.0,-40.0,-44.0,-14.0,-18
Kangasala,216.0,235.0,219.0,126.0,136.0,583.0,247.0,239.0,192.0,346.0,408.0,337
Kihniö,-47.0,-32.0,-36.0,-31.0,-42.0,-44.0,-27.0,-57.0,-45.0,-43.0,-14.0,-37
Kuhmoinen,-49.0,-67.0,-29.0,-35.0,-40.0,-48.0,-34.0,-14.0,-32.0,-45.0,-3.0,-39
Lempäälä,300.0,552.0,389.0,404.0,303.0,209.0,84.0,377.0,317.0,305.0,336.0,416
Mänttä-Vilppula,-105.0,-186.0,-224.0,-175.0,-119.0,-156.0,-192.0,-273.0,-128.0,-182.0,-110.0,-203
Nokia,409.0,298.0,336.0,157.0,315.0,48.0,112.0,205.0,402.0,547.0,408.0,462
Orivesi,-27.0,-19.0,59.0,-51.0,-171.0,-96.0,-27.0,-64.0,-63.0,-150.0,-30.0,-43
Parkano,4.0,-64.0,-82.0,-28.0,-42.0,-74.0,-130.0,-93.0,-65.0,-52.0,-66.0,-46
Pirkkala,526.0,365.0,241.0,320.0,224.0,250.0,74.0,131.0,255.0,180.0,403.0,199
Punkalaidun,-45.0,-33.0,-30.0,-56.0,-68.0,-46.0,-54.0,-53.0,-68.0,-43.0,-64.0,-46
Pälkäne,-68.0,-44.0,-43.0,-73.0,-46.0,-49.0,-60.0,-68.0,-64.0,-20.0,24.0,-92
Ruovesi,-98.0,-72.0,-97.0,-82.0,-66.0,-58.0,-106.0,-61.0,-115.0,-68.0,-60.0,-41
Sastamala,-1.0,-16.0,-236.0,-139.0,-152.0,-158.0,-242.0,-169.0,-374.0,-225.0,-54.0,-264
Tampere,1951.0,2253.0,3025.0,2558.0,2114.0,3156.0,3579.0,3386.0,2901.0,2869.0,3214.0,4786
Urjala,-89.0,-72.0,-69.0,-121.0,-56.0,-70.0,-29.0,-37.0,-104.0,-44.0,25.0,-100
Valkeakoski,178.0,150.0,-43.0,33.0,170.0,14.0,-210.0,1.0,-165.0,-207.0,-70.0,8
Vesilahti,38.0,54.0,36.0,19.0,-3.0,-27.0,-2.0,-67.0,-38.0,12.0,77.0,57
Virrat,-61.0,-69.0,-104.0,-123.0,-155.0,-85.0,-73.0,-105.0,-195.0,-34.0,-45.0,-70
Ylöjärvi,442.0,573.0,228.0,517.0,478.0,61.0,79.0,105.0,271.0,98.0,181.0,74
Asikkala,-54.0,-37.0,-56.0,-31.0,-87.0,36.0,-75.0,-99.0,-66.0,-24.0,-26.0,-19
Hartola,-63.0,-87.0,-107.0,-27.0,-89.0,-58.0,-42.0,-102.0,-83.0,-42.0,-34.0,-47
Heinola,-94.0,-113.0,-72.0,-284.0,-120.0,-225.0,-222.0,-239.0,-222.0,-170.0,-153.0,-213
Hollola,44.0,0.0,-77.0,-77.0,-81.0,-124.0,-9.0,-180.0,-192.0,-159.0,-161.0,-147
Iitti,-3.0,-47.0,26.0,-31.0,-40.0,-21.0,-69.0,-55.0,-54.0,-86.0,-66.0,-55
Kärkölä,-84.0,-26.0,-17.0,-108.0,-43.0,-64.0,-32.0,-57.0,-83.0,-42.0,-81.0,-47
Lahti,753.0,763.0,251.0,295.0,99.0,709.0,121.0,378.0,-128.0,161.0,43.0,148
Orimattila,60.0,-69.0,47.0,-59.0,38.0,-47.0,-58.0,-130.0,-88.0,-121.0,-74.0,-73
