City,2011_saamenkielisia,2012_saamenkielisia,2013_saamenkielisia,2014_saamenkielisia,2015_saamenkielisia,2016_saamenkielisia,2017_saamenkielisia,2018_saamenkielisia,2019_saamenkielisia,2020_saamenkielisia,2021_saamenkielisia,2022_saamenkielisia
Rovaniemi,122.0,126.0,141.0,140.0,144.0,153.0,164.0,168.0,173.0,179.0,192.0,197
Salla,3.0,3.0,3.0,3.0,9.0,5.0,5.0,4.0,3.0,3.0,3.0,2
Savukoski,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4
Simo,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
Sodankylä,131.0,141.0,138.0,140.0,140.0,135.0,135.0,136.0,132.0,131.0,129.0,131
Tervola,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1
Tornio,9.0,9.0,9.0,16.0,15.0,13.0,14.0,15.0,13.0,13.0,12.0,13
Utsjoki,614.0,604.0,588.0,576.0,568.0,558.0,545.0,530.0,523.0,511.0,504.0,491
Ylitornio,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3
Brändö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eckerö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Finström,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Föglö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Geta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hammarland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jomala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kumlinge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kökar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lemland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lumparland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maarianhamina - Mariehamn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saltvik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sottunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vårdö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
