"MK10 Etelä-Savo"	"2031"	116961	4902	4899	2894	3398	33359	21903	19941	25665	57759	2510	2503	1453	1742	17708	10909	9837	11097	59202	2392	2396	1441	1656	15651	10994	10104	14568
"MK11 Pohjois-Savo"	"2021"	247445	14463	15526	7708	7915	85764	50475	36718	28876	122414	7311	7926	3993	4060	44163	25254	18033	11674	125031	7152	7600	3715	3855	41601	25221	18685	17202
"MK11 Pohjois-Savo"	"2022"	246557	14031	15352	7766	7984	85643	49067	36574	30140	121967	7091	7825	4002	4139	44080	24568	17920	12342	124590	6940	7527	3764	3845	41563	24499	18654	17798
"MK11 Pohjois-Savo"	"2023"	245687	13805	14947	7894	7913	85714	47784	36127	31503	121528	7005	7590	4075	4070	44173	23932	17635	13048	124159	6800	7357	3819	3843	41541	23852	18492	18455
"MK11 Pohjois-Savo"	"2024"	244837	13659	14478	7994	7813	85675	46535	35826	32857	121094	6959	7304	4137	4037	44124	23344	17459	13730	123743	6700	7174	3857	3776	41551	23191	18367	19127
"MK11 Pohjois-Savo"	"2025"	243993	13568	13956	7949	7868	85494	45503	35610	34045	120666	6890	7126	4036	4048	44006	22850	17330	14380	123327	6678	6830	3913	3820	41488	22653	18280	19665
"MK11 Pohjois-Savo"	"2026"	243160	13626	13288	7875	7998	85156	44758	35335	35124	120234	6976	6713	4015	4122	43798	22517	17163	14930	122926	6650	6575	3860	3876	41358	22241	18172	20194
"MK11 Pohjois-Savo"	"2027"	242345	13619	12789	7715	8093	84891	43843	35016	36379	119812	6973	6477	3896	4178	43688	22045	16983	15572	122533	6646	6312	3819	3915	41203	21798	18033	20807
"MK11 Pohjois-Savo"	"2028"	241518	13489	12387	7587	8043	84858	42999	34778	37377	119386	6905	6270	3895	4083	43638	21665	16865	16065	122132	6584	6117	3692	3960	41220	21334	17913	21312
"MK11 Pohjois-Savo"	"2029"	240685	13359	12190	7262	7971	84775	42250	34427	38451	118958	6840	6196	3686	4057	43576	21284	16737	16582	121727	6519	5994	3576	3914	41199	20966	17690	21869
"MK11 Pohjois-Savo"	"2030"	239850	13241	12069	6955	7809	84634	41732	33932	39478	118526	6780	6162	3521	3940	43475	21060	16486	17102	121324	6461	5907	3434	3869	41159	20672	17446	22376
"MK11 Pohjois-Savo"	"2031"	238985	13134	12002	6563	7684	84384	41380	33395	40443	118083	6722	6108	3340	3939	43293	20873	16256	17552	120902	6412	5894	3223	3745	41091	20507	17139	22891
"MK12 Pohjois-Karjala"	"2021"	162729	8885	9802	4883	4919	55898	32900	25665	19777	81012	4509	4896	2494	2462	29058	16531	12882	8180	81717	4376	4906	2389	2457	26840	16369	12783	11597
"MK12 Pohjois-Karjala"	"2022"	161827	8600	9689	4877	4921	55801	31722	25580	20637	80549	4385	4848	2486	2460	28986	15897	12852	8635	81278	4215	4841	2391	2461	26815	15825	12728	12002
"MK12 Pohjois-Karjala"	"2023"	160951	8374	9500	4897	4950	55754	30674	25344	21458	80101	4281	4737	2472	2553	28938	15308	12774	9038	80850	4093	4763	2425	2397	26816	15366	12570	12420
