City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Kalajoki,0.4,0.1,0.2,-0.1,-0.1,-0.3,-0.6,-1.0,-0.1,0.2,0.1,-0.6
Kempele,2.0,1.2,1.4,1.7,1.0,1.4,1.4,2.2,2.4,2.4,1.7,1.0
Kuusamo,-0.7,-1.3,-1.3,-0.8,-0.9,-1.0,-0.9,-1.2,-0.5,0.5,-0.3,-0.1
Kärsämäki,-1.8,-2.1,-1.4,-0.9,-1.4,-0.1,-1.7,0.1,-1.4,-1.5,-0.2,-2.3
Liminka,1.4,2.9,1.5,1.7,2.0,0.6,1.3,0.3,0.3,0.5,-0.2,0.4
Lumijoki,2.2,1.1,1.2,-0.5,0.1,1.4,-1.1,-1.4,-1.6,0.8,-0.9,-1.5
Merijärvi,-0.2,-1.9,-2.0,-0.3,-1.4,-0.3,-1.1,-1.3,-1.4,-1.0,-0.2,-0.8
Muhos,0.6,0.4,0.6,-0.1,0.9,-0.8,0.3,-0.4,-0.8,-0.1,0.1,-0.3
Nivala,0.2,-0.6,-0.4,0.0,-0.6,0.1,-0.7,-0.7,-0.9,-1.3,-1.0,0.2
Oulainen,0.3,-0.9,-1.0,-0.6,-1.5,-1.3,-0.6,-0.6,-1.9,-1.8,-0.7,-1.1
Oulu,1.5,1.5,1.5,1.3,1.1,1.0,0.6,0.9,0.9,0.9,1.1,1.1
Pudasjärvi,-1.5,-0.9,-1.0,-1.6,-1.7,-0.8,-1.0,-1.4,-1.5,-1.2,-1.0,-1.3
Pyhäjoki,-0.9,-1.5,1.4,-2.0,-2.4,-0.7,0.0,-1.3,-2.2,-0.8,-0.1,-1.9
Pyhäjärvi,-1.0,-0.6,-2.0,-2.9,-1.0,-1.1,-2.0,-1.7,-2.2,-1.9,-1.4,-2.6
Pyhäntä,-3.0,-1.1,-1.3,1.1,1.6,-0.5,0.0,-1.4,1.3,1.0,2.4,0.2
Raahe,0.0,0.0,-0.6,-0.5,-0.9,-0.6,0.0,-0.8,-0.5,-1.3,-0.4,-0.8
Reisjärvi,0.8,-1.2,-1.2,-0.8,-0.2,-1.4,-1.4,-2.5,-0.9,-0.3,-0.7,-2.0
Sievi,-0.5,-0.8,-0.8,-0.8,-0.6,-1.1,-0.7,-1.1,-1.4,-1.5,-1.1,-1.0
Siikajoki,-0.8,-0.7,-0.1,-1.2,-1.1,-1.8,-0.4,-1.8,-2.0,-2.2,-0.1,-2.6
Siikalatva,-1.9,-1.3,-2.1,-0.7,-2.4,-1.7,-2.4,-2.7,-1.3,-0.5,-1.4,-2.0
Taivalkoski,-0.8,-2.5,-1.4,-0.5,-0.8,-1.6,-1.8,-0.8,-1.2,-1.5,-0.1,-2.2
Tyrnävä,0.7,2.3,0.4,1.4,0.9,-0.6,-0.3,0.4,-1.8,-0.5,-0.2,-0.5
Utajärvi,-1.6,0.0,-0.2,-1.3,-1.6,-1.3,-2.0,-2.4,-1.0,-2.1,-1.9,-1.8
Vaala,-1.7,-1.9,-1.8,-1.7,-2.1,-1.1,-3.3,-2.4,-2.7,-2.0,-2.3,-1.8
Ylivieska,1.4,1.9,1.5,1.5,0.4,1.1,0.3,-0.3,0.3,0.3,0.3,-0.4
Hyrynsalmi,-2.3,-2.6,-1.5,-2.9,-2.7,-0.7,-3.3,-1.7,-0.7,-3.2,-2.7,-2.1
Kajaani,-0.3,-0.2,-0.3,-0.2,-0.4,-0.3,-0.8,-0.7,-0.7,-0.4,-0.2,-0.5
Kuhmo,-1.7,-1.0,-1.5,-1.7,-1.6,-1.8,-1.7,-2.0,-1.7,-1.8,-1.4,-2.2
Paltamo,-2.0,-1.7,-3.3,-1.5,-2.1,0.1,-1.6,-2.9,-1.9,-1.2,-1.6,-2.6
Puolanka,-2.2,-2.2,-1.8,-1.9,-1.7,-1.5,-2.4,-2.7,-2.7,-1.5,-1.8,-2.7
Ristijärvi,-1.6,-2.6,-1.6,-0.8,-4.6,-0.4,-2.1,-2.2,-1.2,-2.9,-2.0,-3.0
Sotkamo,0.0,-0.1,-0.2,-0.6,-0.7,-0.5,-0.5,-0.3,-0.5,-0.3,0.5,0.1
Suomussalmi,-2.3,-1.5,-1.7,-2.0,-1.8,-1.8,-1.7,-2.3,-1.7,-1.7,-1.1,-1.9
Enontekiö,0.9,-0.7,0.6,-0.1,-1.5,0.6,1.1,-2.2,-0.8,-1.6,-1.1,1.2
Inari,-0.4,-0.3,0.9,0.3,-0.1,0.3,0.6,0.9,-0.3,-0.7,2.1,0.6
Kemi,-0.6,-0.6,-0.6,-0.9,-0.8,-0.7,-1.6,-1.1,-1.5,-1.3,-2.2,-2.4
Kemijärvi,-1.5,-2.4,-1.4,-1.1,-1.6,-1.4,-1.7,-2.2,-1.3,-1.1,-1.2,-1.5
Keminmaa,0.0,0.2,-0.2,-1.1,-1.0,-0.9,-0.2,-1.8,-0.8,-1.2,-1.0,-1.7
Kittilä,1.6,1.7,1.4,-0.1,-0.8,-0.5,0.6,0.2,0.3,-0.3,1.4,1.7
Kolari,-0.1,0.4,0.8,-1.2,0.2,-0.5,0.7,-0.5,0.3,2.1,1.6,0.3
Muonio,-1.3,1.1,-0.5,-0.3,-0.7,-0.3,-0.8,-1.4,0.4,-0.5,1.0,-1.7
Pelkosenniemi,-3.5,-1.0,0.3,-2.0,1.2,-0.7,0.7,-0.4,-1.6,-0.9,-0.8,2.5
Pello,-1.7,-2.4,-2.1,-1.7,-1.4,-1.6,-1.5,-2.1,-1.9,-2.0,-0.2,-1.0
Posio,-1.4,-2.1,-2.4,-0.4,-4.3,-1.5,-3.3,-2.2,-1.7,-2.1,-1.6,-2.2
Ranua,-1.7,-0.8,-1.7,-1.5,-1.8,0.1,-1.3,-1.9,-2.9,-1.9,-1.1,-1.4
Rovaniemi,0.9,0.4,0.6,0.5,0.5,0.6,0.3,0.8,0.2,0.8,1.0,0.6
Salla,-2.6,-1.8,-2.2,-2.8,-1.4,-2.0,-2.1,-2.3,-2.6,0.2,0.3,-2.3
Savukoski,-2.0,-2.5,-0.1,-2.0,-3.8,-1.6,-3.1,0.3,-1.0,0.4,0.0,-2.1
Simo,-1.4,-0.3,-2.1,-1.8,-1.8,-2.1,-1.9,-2.1,-1.9,-1.3,-1.6,-0.9
Sodankylä,0.3,0.3,0.6,-0.7,-0.4,-1.5,-1.2,-1.2,-1.7,-0.4,-1.0,-0.6
