City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Jämsä,19715.0,20460.0,20908.0,21201.0,21471.0,21594.0,21927.0,22402.0,23141.0,23573.0,23445.0,24352.0
Kannonkoski,17719.0,18054.0,18223.0,18285.0,18566.0,18331.0,18845.0,19526.0,19873.0,20726.0,21164.0,22274.0
Karstula,18249.0,18827.0,19279.0,19549.0,19673.0,19963.0,20125.0,20652.0,20946.0,21549.0,21752.0,22838.0
Keuruu,19344.0,19760.0,20124.0,20428.0,20844.0,20916.0,21340.0,21635.0,21929.0,22564.0,22678.0,23519.0
Kinnula,16779.0,17486.0,17856.0,18086.0,18740.0,18710.0,19301.0,19793.0,20052.0,20372.0,21387.0,21482.0
Kivijärvi,16755.0,17099.0,17328.0,17535.0,17828.0,17962.0,18549.0,18886.0,19122.0,19549.0,20251.0,20969.0
Konnevesi,20830.0,20144.0,19538.0,19704.0,20006.0,20170.0,20727.0,21191.0,21601.0,22418.0,22345.0,23471.0
Kyyjärvi,18084.0,18920.0,19406.0,19647.0,19981.0,19740.0,20860.0,20858.0,21163.0,21822.0,21753.0,23434.0
Laukaa,20807.0,21506.0,21988.0,22309.0,22739.0,22813.0,23127.0,23748.0,24130.0,24841.0,25177.0,26265.0
Luhanka,17590.0,18563.0,19192.0,20558.0,20704.0,20567.0,21443.0,21940.0,23337.0,24018.0,23940.0,26120.0
Multia,18357.0,18326.0,18655.0,19354.0,19608.0,20337.0,20136.0,20457.0,21515.0,22502.0,21448.0,22355.0
Muurame,23743.0,25045.0,25006.0,25207.0,29288.0,25713.0,26045.0,26545.0,27333.0,28707.0,30565.0,30715.0
Petäjävesi,19182.0,19631.0,20179.0,20381.0,20957.0,21239.0,21823.0,22413.0,23100.0,23596.0,23884.0,25049.0
Pihtipudas,17400.0,18002.0,18541.0,18725.0,19397.0,19215.0,19627.0,20102.0,20647.0,21199.0,21504.0,22586.0
Saarijärvi,18012.0,18503.0,19045.0,19225.0,19605.0,19787.0,20205.0,20638.0,22122.0,21885.0,21974.0,22731.0
Toivakka,18897.0,19605.0,20534.0,20812.0,21336.0,21518.0,21934.0,22698.0,23267.0,24243.0,24121.0,25300.0
Uurainen,19792.0,20374.0,20965.0,21274.0,21622.0,21808.0,22277.0,22897.0,23715.0,24494.0,24518.0,25457.0
Viitasaari,18627.0,19012.0,18975.0,19402.0,19520.0,19713.0,20011.0,20482.0,21074.0,21585.0,21827.0,22723.0
Äänekoski,19365.0,19924.0,20431.0,20721.0,20971.0,21153.0,21609.0,22250.0,22461.0,22648.0,22978.0,23691.0
Alajärvi,18364.0,19580.0,19384.0,19607.0,19978.0,20010.0,20324.0,20958.0,21696.0,22141.0,22362.0,23364.0
Alavus,18339.0,19023.0,19358.0,19898.0,20121.0,20196.0,20457.0,21099.0,21747.0,22203.0,22888.0,23617.0
Evijärvi,18682.0,19775.0,20231.0,21073.0,21422.0,21825.0,22137.0,22792.0,23062.0,23516.0,23311.0,24286.0
Ilmajoki,20264.0,21305.0,21939.0,22282.0,22768.0,22637.0,23140.0,23570.0,24066.0,24639.0,24952.0,26579.0
