City,2010_talouksien_keskikoko_te,2011_talouksien_keskikoko_te,2012_talouksien_keskikoko_te,2013_talouksien_keskikoko_te,2014_talouksien_keskikoko_te,2015_talouksien_keskikoko_te,2016_talouksien_keskikoko_te,2017_talouksien_keskikoko_te,2018_talouksien_keskikoko_te,2019_talouksien_keskikoko_te,2020_talouksien_keskikoko_te,2021_talouksien_keskikoko_te
Ilmajoki,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2
Isojoki,2.1,2.1,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Isokyrö,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1
Karijoki,2.1,2.1,2.1,2.0,2.0,1.9,2.0,1.9,1.9,1.9,1.8,1.8
Kauhajoki,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0
Kauhava,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1
Kuortane,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1
Kurikka,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.0
Lappajärvi,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1
Lapua,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2
Seinäjoki,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0
Soini,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1
Teuva,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0
Vimpeli,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1
Ähtäri,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9
Kaskinen,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.9
Korsnäs,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2
Kristiinankaupunki,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kruunupyy,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4
Laihia,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2
Luoto,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1
Maalahti,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1
Mustasaari,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3
Närpiö,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
