City,2011_suomenkielisia,2012_suomenkielisia,2013_suomenkielisia,2014_suomenkielisia,2015_suomenkielisia,2016_suomenkielisia,2017_suomenkielisia,2018_suomenkielisia,2019_suomenkielisia,2020_suomenkielisia,2021_suomenkielisia,2022_suomenkielisia
Nivala,10972.0,10909.0,10867.0,10865.0,10795.0,10798.0,10715.0,10636.0,10527.0,10394.0,10284.0,10299
Oulainen,7825.0,7762.0,7685.0,7635.0,7521.0,7423.0,7372.0,7313.0,7171.0,7037.0,6986.0,6892
Oulu,182618.0,184945.0,187291.0,189300.0,191085.0,192321.0,193163.0,194461.0,195906.0,197312.0,198895.0,200226
Pudasjärvi,8598.0,8488.0,8369.0,8233.0,8127.0,8015.0,7915.0,7808.0,7668.0,7582.0,7525.0,7403
Pyhäjoki,3316.0,3266.0,3307.0,3241.0,3158.0,3119.0,3114.0,3079.0,2993.0,2951.0,2892.0,2859
Pyhäjärvi,5834.0,5788.0,5666.0,5497.0,5438.0,5377.0,5263.0,5175.0,5059.0,4966.0,4888.0,4759
Pyhäntä,1579.0,1559.0,1539.0,1555.0,1575.0,1555.0,1560.0,1534.0,1548.0,1552.0,1539.0,1533
Raahe,25198.0,25137.0,24962.0,24834.0,24579.0,24381.0,24327.0,24098.0,23904.0,23598.0,23415.0,23187
Reisjärvi,2984.0,2953.0,2917.0,2894.0,2883.0,2837.0,2795.0,2731.0,2706.0,2698.0,2678.0,2625
Sievi,5202.0,5155.0,5110.0,5066.0,5031.0,4981.0,4948.0,4890.0,4823.0,4750.0,4677.0,4610
Siikajoki,5538.0,5507.0,5516.0,5436.0,5373.0,5297.0,5258.0,5159.0,5052.0,4955.0,4942.0,4814
Siikalatva,6010.0,5931.0,5805.0,5759.0,5610.0,5537.0,5393.0,5253.0,5190.0,5159.0,5062.0,4949
Taivalkoski,4370.0,4262.0,4204.0,4188.0,4151.0,4085.0,4007.0,3963.0,3905.0,3842.0,3829.0,3736
Tyrnävä,6407.0,6558.0,6594.0,6682.0,6740.0,6692.0,6662.0,6693.0,6577.0,6543.0,6531.0,6490
Utajärvi,2929.0,2926.0,2918.0,2876.0,2829.0,2759.0,2713.0,2647.0,2631.0,2571.0,2511.0,2458
Vaala,3288.0,3225.0,3167.0,3115.0,3046.0,3012.0,2913.0,2842.0,2762.0,2711.0,2643.0,2590
Ylivieska,14109.0,14352.0,14539.0,14757.0,14806.0,14937.0,14973.0,14958.0,14982.0,15039.0,15074.0,14991
Hyrynsalmi,2637.0,2566.0,2525.0,2455.0,2389.0,2374.0,2293.0,2253.0,2233.0,2157.0,2097.0,2049
Kajaani,36935.0,36821.0,36686.0,36581.0,36380.0,36240.0,35919.0,35677.0,35374.0,35156.0,34841.0,34405
Kuhmo,9164.0,9074.0,8932.0,8776.0,8632.0,8471.0,8324.0,8149.0,8013.0,7852.0,7724.0,7549
